model_name,lang,triple_exact_micro_precision,triple_exact_micro_recall,triple_exact_micro_f1,tp,fp,fn,hallucination_rate_micro,omission_rate_micro,graph_similarity_micro,triple_swap_aware_micro_precision,triple_swap_aware_micro_recall,triple_swap_aware_micro_f1,triple_soft_micro_precision,triple_soft_micro_recall,triple_soft_micro_f1,triple_soft_swap_aware_micro_precision,triple_soft_swap_aware_micro_recall,triple_soft_swap_aware_micro_f1
HuggingFaceTB/SmolLM3-3B,ca,0.031459879816189466,0.03156588047526157,0.031512791006461885,178.0,5480.0,5461.0,0.9685401201838105,0.9684341195247385,0.03151279100646187,0.036408624955814775,0.036531299875864516,0.03646985925466938,0.06300745750197854,0.06321975430859986,0.06311342737827648,0.07256832183042859,0.07281283293430837,0.07269037176534744
HuggingFaceTB/SmolLM3-3B,en,0.22364400305576776,0.20766093278950168,0.2153563218390805,1171.0,4065.0,4468.0,0.7763559969442322,0.7923390672104983,0.2153563218390805,0.25133689839572193,0.23337471182833835,0.24202298850574713,0.3032529563707944,0.2815805071036495,0.29201516865424915,0.34421792821811925,0.31961785283739536,0.331462082234496
HuggingFaceTB/SmolLM3-3B,es,0.0585325638911789,0.06295442454335876,0.06066302118933699,355.0,5710.0,5284.0,0.9414674361088211,0.9370455754566412,0.060663021189336974,0.0651277823577906,0.07004788082993439,0.06749829118250171,0.1093263713173029,0.11758546586973613,0.11330561210516782,0.12197287720370986,0.13118735595681863,0.1264124231443097
HuggingFaceTB/SmolLM3-3B,eu,0.0033158813263525306,0.0033693917361234263,0.003342422376638227,19.0,5711.0,5620.0,0.9966841186736475,0.9966306082638766,0.0033424223766381767,0.0038394415357766143,0.0039014009576165986,0.0038701732782126835,0.007408515471342698,0.007528071227308681,0.0074678148739191945,0.008344136956702402,0.008478791410162221,0.008410925281362435
HuggingFaceTB/SmolLM3-3B,gl,0.037374978066327426,0.03777265472601525,0.03757276415593579,213.0,5486.0,5426.0,0.9626250219336726,0.9622273452739848,0.0375727641559358,0.0454465695736094,0.04593012945557723,0.04568707002998765,0.06519524372217826,0.06588893313933214,0.06554025294984897,0.0777988890289294,0.07862668355663568,0.07821059597386992
Qwen/Qwen3-4B-Instruct-2507,ca,0.10187568959176167,0.09824436956907254,0.10002708314525595,554.0,4884.0,5085.0,0.8981243104082384,0.9017556304309274,0.10002708314525599,0.10408238322912836,0.10037240645504522,0.10219373476573079,0.19495256422435533,0.18800355457564183,0.19141501205236877,0.1991531145356081,0.19205437787633214,0.1955393404070844
Qwen/Qwen3-4B-Instruct-2507,en,0.26348920863309355,0.2597978364958326,0.26163050272345745,1465.0,4095.0,4174.0,0.7365107913669064,0.7402021635041675,0.26163050272345745,0.2670863309352518,0.2633445646391204,0.2652022502009108,0.3870660354833017,0.3816434043779318,0.38433559376500714,0.3928937542606607,0.38738947928520545,0.3901222026411775
Qwen/Qwen3-4B-Instruct-2507,es,0.10663724949439235,0.10285511615534669,0.10471204188481674,580.0,4859.0,5059.0,0.8933627505056077,0.8971448838446533,0.10471204188481675,0.10847582276153704,0.1046284802269906,0.1065174219173136,0.19283305414257798,0.18599378994174173,0.18935168468703403,0.19598212157735964,0.1890311685155629,0.19244389948713833
Qwen/Qwen3-4B-Instruct-2507,eu,0.012239165329052969,0.010817520837027842,0.011484514732184882,61.0,4923.0,5578.0,0.987760834670947,0.9891824791629722,0.011484514732184925,0.012841091492776886,0.011349530058521014,0.012049326932128401,0.030389893160759934,0.02685994458471848,0.028516092914097246,0.03160712162517942,0.02793578545484912,0.029658268696205255
Qwen/Qwen3-4B-Instruct-2507,gl,0.09339322478008609,0.08849086717503103,0.09087597887452195,499.0,4844.0,5140.0,0.906606775219914,0.9115091328249689,0.09087597887452192,0.09638779711772412,0.09132824968966129,0.09378983791659078,0.1478426057829015,0.14008211432843462,0.1438577750315139,0.15184784628449238,0.14387711344175258,0.14775506150028095
final_adapter,ca,0.4151649098945937,0.4330555062954424,0.4239215345890114,2442.0,3440.0,3197.0,0.5848350901054064,0.5669444937045576,0.4239215345890114,0.4161849710982659,0.4341195247384288,0.4249631108410728,0.5347555173018451,0.5577996014842087,0.546034537413324,0.5365760432000656,0.5596985788442607,0.547893461696517
final_adapter,en,0.5417892368921959,0.5552402908317078,0.5484322998773866,3131.0,2648.0,2508.0,0.4582107631078041,0.44475970916829227,0.5484322998773865,0.5433465997577436,0.5568363184961873,0.5500087581012437,0.6569394493754244,0.6732493488101752,0.6649944084674334,0.659134177413724,0.6754985655743768,0.6672160468162395
final_adapter,es,0.44066065043419034,0.4589466217414435,0.4496177901320361,2588.0,3285.0,3051.0,0.5593393495658097,0.5410533782585565,0.4496177901320362,0.441682274816959,0.4600106401844299,0.45066018068102853,0.5507209786070675,0.5735740924559865,0.5619152723000882,0.5519512522024015,0.5748554183693393,0.563170553194007
final_adapter,eu,0.3296339241345039,0.3528994502571378,0.3408701610140459,1990.0,4047.0,3649.0,0.6703660758654961,0.6471005497428622,0.3408701610140459,0.33029650488653306,0.35360879588579536,0.341555327166838,0.4025018418964088,0.4309103776429544,0.4162219286619767,0.4038104388816663,0.432311335259553,0.4175751318137409
final_adapter,gl,0.45597538040690716,0.4729561979074304,0.4643105849582173,2667.0,3182.0,2972.0,0.5440246195930928,0.5270438020925696,0.4643105849582173,0.4566592579928193,0.473665543536088,0.46500696378830086,0.5428043820632298,0.5630187676339476,0.5527268159275472,0.5438707389126265,0.5641248363007542,0.5538126657207437
