model_name,lang,category,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
BSC-LT/salamandra-2b-instruct,gl,Artist,109,0.037874180250516566,0.17331216468770144,0.06633739531247501,0.1262582616407744,0.6313378433568761,0.6411541241024612,0.6350517179987846,0.546007108524305,0.8129767245108929,2.0013118419856606,1.764605279329891,0.028980951654446994
BSC-LT/salamandra-2b-instruct,gl,Astronaut,82,0.06567927330221497,0.17584633400915514,0.1037215463673647,0.16660557243934423,0.6321657445372605,0.6446494910775161,0.6372379747832694,0.5854408061358987,0.8136666300820141,1.2738459591910858,0.9521205131011353,0.06865600685827926
BSC-LT/salamandra-2b-instruct,gl,Athlete,50,0.03784148818967256,0.15991079662826602,0.09368807429765923,0.13433778849095443,0.6322607547044754,0.6363982367515564,0.6329186451435089,0.5828902250528336,0.8259056568145752,3.9427552057040947,3.575968589302576,0.020862203588428344
BSC-LT/salamandra-2b-instruct,gl,Building,46,0.03883026658098327,0.1495490224424603,0.09362688880261973,0.1475126921430017,0.6296456339566604,0.6393378817516825,0.633756601292154,0.6035761068696561,0.8120204637879911,0.9311187668082215,0.7957730405561714,0.05477371171360919
BSC-LT/salamandra-2b-instruct,gl,CelestialBody,49,0.025177434266197972,0.21352104455558835,0.10813283298562067,0.18424947882007126,0.6362685555098008,0.6398494705861929,0.6343137226542648,0.6343979522281763,0.857434736222637,5.091051412486463,4.741296143799408,0.02191253008620087
BSC-LT/salamandra-2b-instruct,gl,City,83,0.04783461404213579,0.21305537876930772,0.17039031043100752,0.21055153936594054,0.6098883432078074,0.6640089613845549,0.6349376134843712,0.638341546597251,0.8791612781674029,6.895311618095561,6.149822299597469,0.02468190866188753
BSC-LT/salamandra-2b-instruct,gl,ComicsCharacter,30,0.0471824506895975,0.18953808406651634,0.10218005684742269,0.14345679124198676,0.658290175596873,0.6528440674146017,0.6544182459513347,0.589072385430336,0.8092819412549337,0.6654593565533016,0.6153102938551517,0.06579304455119926
BSC-LT/salamandra-2b-instruct,gl,Company,66,0.03990588148464627,0.16681760775897533,0.075693461417395,0.15649003462712868,0.6185523863091613,0.6537636039835034,0.6347459319866064,0.5620589486577294,0.808712206103585,1.4687738444644456,0.9866910586460206,0.01932441157139071
BSC-LT/salamandra-2b-instruct,gl,Film,264,0.03519830585146376,0.15931056768290042,0.0743039883872774,0.12350993207608658,0.6288819767986283,0.6355303171457667,0.6312533613633026,0.512648694781643,0.805540376088836,1.3672119170222732,1.1219678360315257,0.027756892283333626
BSC-LT/salamandra-2b-instruct,gl,Food,46,0.028338628058711717,0.20632060470964506,0.09495723133337379,0.15199879829000748,0.6842705536147823,0.6580040778802789,0.6693344070859577,0.5875781819872234,0.8452131540878959,1.0581576484294952,1.0482661784022163,0.022206025655561724
BSC-LT/salamandra-2b-instruct,gl,MeanOfTransportation,58,0.04930631431579586,0.2217034507091462,0.08743466900451821,0.18179283174222094,0.647299044091126,0.666475371040147,0.6547483421605209,0.5745960371247654,0.8297749881086678,2.834233223266841,2.50422261879881,0.022027871153254094
BSC-LT/salamandra-2b-instruct,gl,Monument,46,0.06742085723908547,0.23951442926518593,0.13593702763137475,0.21176221597067013,0.6649796029795771,0.6713115754334823,0.6673754064933114,0.6792331888623859,0.8370792166046475,1.0255805218258565,0.8818320402721141,0.08598412375334823
BSC-LT/salamandra-2b-instruct,gl,MusicalWork,290,0.03335666166794074,0.1857616190241455,0.07498508456886946,0.14498763703005157,0.6213673887581661,0.6514436255241263,0.6351229666635908,0.5463694368970805,0.8188179423069132,1.6462118820600928,1.310392111344001,0.022937361977853486
BSC-LT/salamandra-2b-instruct,gl,Politician,29,0.07933744183853564,0.22082233204908094,0.09644460232989477,0.1695091187340696,0.668823057207568,0.6525486769347355,0.6602679244403181,0.5931663646780211,0.816689645421916,0.5238339152331686,0.49422848213957365,0.06569166698529984
BSC-LT/salamandra-2b-instruct,gl,Scientist,259,0.06204495299705968,0.21407508572134548,0.11336407555841782,0.18981773419571932,0.6537910939183474,0.6695285564914173,0.6602253994426212,0.5819329976114987,0.8339638698515285,2.48888072231478,2.1382715099479324,0.03495907570979131
BSC-LT/salamandra-2b-instruct,gl,SportsTeam,44,0.05222254728474071,0.19431063820746325,0.13090332679223537,0.1837319219169978,0.6494620970704339,0.6487685739994049,0.6484172493219376,0.6033223874189637,0.8225616623054851,1.5547914006059116,1.4456748449959287,0.056474259593854825
BSC-LT/salamandra-2b-instruct,gl,University,90,0.068478655343413,0.26599769712821825,0.10740144238156873,0.22503679627768416,0.6693936977121565,0.6735800362295574,0.6692097322808371,0.631101072827975,0.8413193762302399,1.2382637214145018,1.0033406187481104,0.06830160203074169
